UGC     1 0000.0+1622MCG+03-01-0151195  1.5  1.3    DBL SYS 14.9
UGC     2 0000.0+4439MCG+07-01-0001243  1.1  0.2 120        17.        1.0  0.2 7
UGC     3 0000.2+1837MCG+03-01-0181195  2.0  1.0  90SBa     14.8       1.8  0.8 5
UGC     4 0000.5+0356MCG+01-01-0141465  1.3  0.8 155Sb-c    15.5       1.1  0.7 4
UGC     5 0000.6-0211MCG+00-01-0210319  1.3  0.8  45SBb/Sc  14.3       1.4  0.9 4
UGC     6 0000.6+2142MCG+04-01-0130779  1.0  0.7 105PECULR  14.4+6900  1.0  0.7
UGC     7 0000.7+1542MCG+03-01-0191195  1.5  0.4  54PECULR  14.9       1.5  0.4 6
UGC     8 0000.7+1552MCG+03-01-0201195  6.5  2.7 135Sa-b    12.0+1047  6.3  2.7 7
UGC     9 0000.8+0421MCG+01-01-0001465  1.3  1.2            16.5       1.3  1.2
UGC    10 0000.8+0820MCG+01-01-0151465  1.9  1.7    Sc      15.4       2.   2.  1
UGC    11 0000.8+2150MCG+04-01-0140779  1.1  0.8  55        16.0       0.9  0.6
UGC    12 0000.8+2931MCG+05-01-0281257  1.1  0.9 100Sc      15.7       0.7  0.6 2
UGC    13 0000.9+2705MCG+04-01-0150779  1.1  1.0    SB0/a   15.0       1.0  1.0 1
UGC    14 0001.0+2256MCG+04-01-0170779  1.9  1.0  32Sc      14.0       2.0  1.0 5
UGC    15 0001.2+0400MCG+01-01-0171465  1.5  0.3  63Sa-b    16.0       1.2  0.2 6
UGC    16 0001.2+0711MCG+01-01-0181465  2.0  2.0    Sb/Sc   14.0       2.1  2.1 1
UGC    17 0001.3+1456MCG+02-01-0170010  3.   2.     DWARF   17.        3.   2.
UGC    18 0001.4+1035MCG+02-01-0000010  1.0  0.9    COMPACT 15.7       1.1  1.0
UGC    19 0001.4+2028MCG+03-01-0211195  4.0  1.1  45Sb/Sc   12.7       3.8  1.0 6
UGC    20 0001.5+8001MCG+13-01-0041213  2.2  1.4   5        16.0       1.2  1.1
UGC    21 0001.6+0705MCG+01-01-0191465  1.1  1.1    Sc      15.1       1.1  1.1 1
UGC    22 0001.7+1002MCG+02-01-0180010  1.3  0.8  25S0      16.0       1.3  0.8 4
