Ced,Note
53,"491, 500, 509, 578, 601, 603 Pl 14, 606, 615 Pl 26, 630 Pl 30, 631, 632,"
53,"641, 761, 791). R. Has also been classified as a planetary."
54,The nebula around {lam} Orionis = +9 879 = HD 36861/2 = Boss 6915.
54,"Disc. Barnard 1894 (93) Pl 6. WP 28. (88 Pl 21, 194, 630 P1 33, 715)."
54,R. On available photographs the nebula seems to be confined to the
54,"immediate vicinity of {lam} Orionis. However, the McDonald spectrograph"
54,"has revealed emission in a field as far as 3{deg} from the star, and it"
54,is not improbable that {lam} Orionis should be the stimulating source.
54,(724).
55,"The Orion region. History and bibliography: (118, 119, 186, 188, 191, 276,"
55,"352). The nebulous groundwork and the exterior nebulosities: (20, 21, 26,"
55,"53, 58, 78, 142, 143, 186, 191, 206, 207, 278, 279, 281, 282, 289, 305,"
55,"312, 438, 480, 519, 540. 541, 593, 594, 595, 620, 625, 628, 630 Pl 34,"
55,"663, 675, 715, 726 No 41, 769, 782, 802, 818). R. It is shown on several"
55,"photographs, e.g. (630) Pl 34, that the whole region of the constellation"
55,"Orion is filled up by vast masses of nebulosity. As is well known, there"
55,are several condensation which seem to stand out from the general
55,"background, and which have been separately discovered and studied. Such"
55,"subnebulae, will be individually discussed below. Taken as a whole, No 55"
55,of the catalogue should be classified as C. 2 in addition to the separate
55,classes of the subnebulae.
55,a = -5 1305 = HD 36917 nebulous. Source: (481).
55,b = NGC 1973 = GC 5352. Disc. d'Arrest. R. According to (114) this is the
55,nebulous star -4 1179 = HD 36958.
55,c = NGC 1975 = GC 5353. Disc. d'Arrest. R. According to (114) this is a
55,double nebulous star within the boundary of the Great Orion Nebula.
55,"d = NGC 1976 = GC 1179 = h 360 = M 42 = ""The Great Orion Nebula"". Disc."
55,"Peiresc 1610 (118). For references earlier than 1877, see (350) Part 2."
55,"Concerning the central part (earlier than 1880), see (352), where (350)"
55,"Part 2 is reprinted with additions. Stellar data: (11, 25, 26, 146, 147,"
55,"149, 151, 157, 181, 194, 198, 202, 400, 426, 436, 444, 461, 490, 516, 525,"
55,"545, 571, 655, 656, 680, 775). Visual and photographic observations: (22,"
55,"32, 69, 79, 114, 183, 202, 216, 219, 222, 223, 228, 255, 261, 327, 352,"
55,"387, 388, 427, 462, 477, 555, 578, 586, 597, 599, 631, 647). Nebular"
55,"spectrum: (2, 24, 160, 161, 162, 163, 165, 166, 167, 187, 205, 224, 225,"
55,"244, 289, 293, 368, 369, 370, 371, 372, 373, 374, 399, 400, 401, 403, 404,"
55,"405, 469, 470, 471, 472, 473, 475, 498, 518, 530, 580, 581, 633, 634, 644,"
55,"648, 649, 650, 653, 654, 692, 707, 745, 757, 784, 785, 830, 834, 850)."
55,"Nebular photometry : (39, 356, 357, 435, 791). Parallax : (14, 20, 21,"
55,"102, 103, 150, 194, 482, 486, 564, 566, 571, 754). Nebular proper motion"
55,"and radial velocity: (168, 169, 171, 172, 174, 197, 210, 268, 520, 749,"
55,"757, 758). Interferometric measurements; temperature: (125, 126, 127, 256,"
55,"257, 269, 393).  Gravitation : (3, 488). General discussions : (7, 19, 25,"
55,"30, 194, 248, 269, 294, 365, 366, 464, 558, 571, 578, 699, 715, 717, 753,"
55,"773, 778, 804). Polarization: (515)."
55,{tet} Orionis : -5 1315 = HD 37020-37023 = Boss 6936.
55,-5 1319 = HD 37041 = Boss 6935. -5 1320 = HD 37042 = Boss 6936.
55,"e = NGC 1977 = GC 1180 = H V 30. Disc. 1786. WP 67. (30, 114, 174, 197,"
55,"216, 238, 294, 366, 409 Pl 12, 481, 522, 578, 585, 599, 630 Pl 34, 692,"
55,"711, 715, 717)."
55,R. The nebula around C' (42) Orionis = -4 1185 = HD 37018 = Boss 6934.
55,"f = NGC 1980 = GC 1183 = h 361 = H V 31. Disc. 1786. WP 67. (30, 114, 174,"
55,"194, 304, 558, 578, 630 Pl 34, 631.). R."
55,This is the nebula around {iot} Orionis = -6 1241 = HD 37043 = Boss 6937.
55,"g = NGC 1982 = GC 1185 = H III 1 = M 43. Disc. Mairan 1731. WP 67. (114,"
55,"252, 261, 294, 544, 578, 599, 791, 894). R. -5 1325 = HD 37061 = Bond 734."
55,"h = NGC 1990 = GC 1193 = h 363 = H V 34. Disc. 1786. WP 166. (114, 209,"
55,"216, 282, 310, 316, 578, 631)."
55,R. The nebula around {eps} Orionis = -1 969 = HD 37128 = Boss 6960.
55,"i = NGC 1999 = GC 1202 = H IV 33. Disc. 1785. (114, 191, 201, 232, 296,"
55,"557, 578, 630 Pl 34, 631, 831). R. This is IC 427 + IC 428."
55,j = IC 426. Disc. Pickering 1890 (557). WP 166. (630) Pl 34. R. The nebula
55,is fan-shaped with the star -0 1018 = HD 37140 at the apex.
55,k = IC 430. Disc. Pickering 1890 (557). WP 67. (630) Pl 34. R. A
55,fan-shaped appendix to d Orionis = -7 1142 = HD 37507 = Boss 7039.
55,"l = IC 431. Disc. Pickering 1890 (557). FA 98. WP 166. (216, 366, 715)."
55,R. -1 1001 = HD 37674.
55,"m = IC 432. Disc. Pickering 1890 (557). FA 98. WP 166. (216, 366, 715)."
55,R. -1 1005 = HD 37776.
55,"n = IC 434. Disc. Pickering 1890 (557). WP 67. (78, 87, 92, 215, 216, 235,"
55,"282, 294, 412, 416, 620, 630 Pl 34, 717, 724, 820). R. This is the bright"
55,rim extending southwards from
55,"{zet} Orionis = -2 1338 = HD 37742,3 = Boss 7089."
55,"o = NGC 2023 = GC 1226 = H IV 24. Disc. 1785. WP 67. WP 166. FA 98. (114,"
55,"174, 196, 216, 235, 294, 296, 366, 416, 578, 630 Pl 34, 631, 715, 724,"
55,817) . R. -2 1345 = HD 37903.
55,"p = NGC 2024 = GC 1227 = H V 28. Disc. 1786, WP 166. (30, 87, 88 Pl 20,"
55,"114, 174, 215, 216, 235, 238, 263, 289, 294, 296, 366, 409 Pl 13, 416,"
55,"418, 550, 558, 578, 620, 630 Pl 34, 631, 715, 793, 802)."
55,"q = IC 435. Disc. Pickering 1890 (557). FA 98. WP 67. (196, 216, 296, 366,"
55,715). R. -2 1350 = HD 38087.
55,"r = ""The Orion loop"". Disc. Barnard. For references, see No 55, the"
55,"heading : ""The nebulous groundwork and the exterior nebulosities"". R. On"
55,"(630) Pl 34 the ""loop"" seems to be a prominent condensation in the general"
55,background veil.
55,"s = NGC 2064 = GC 5355. Disc. d'Arrest. WP 166. (30, 114, 216, 238, 409"
55,"Pl 14, 578, 630 Pl 34, 631). R. -0 1077 has two nebulous wisps extending"
55,chiefly north-south. NGC 2064 is a part of the southern appendix.
55,"t = NGC 2067 = GC 5356. Disc. Tempel 1878 (746). WP 166. (114, 216, 238,"
55,"409 Pl 14, 578, 630 Pl 34). R. This is the curious nebula (somewhat"
55,resembling a hand-saw) situated north-west of M 78. +0 1177 = HD 38563.
55,u = NGC 2068 = GC 1267 = h 368 = M 78. Disc. Mechain 1780 (262). FA 98.
55,"WP 166. (30, 114, 173, 191, 196, 216, 238, 252, 354, 366, 409 P1 14, 486,"
55,"578, 604, 630 Pl 34, 631, 698, 715, 791)."
55,"v = NGC 2071 = GC 1270 = H IV 36. Disc. 1786. FA 98. WP 166. (114, 173,"
55,"196, 216, 238, 366, 409 Pl 14, 578, 604, 630 Pl 34, 715)."
56,IC 425. Disc. Wolf 1892 (796). R. Not identified. Catalogue dimensions
56,according to Wolf.
57,NGC 1985 = GC 1188 = h 359 = H III 865. Disc. 1790.
57,R. Catalogue data from (114) and (578). (631).
58,"NGC 2045 = GC 1247 = h 367. WP 28. (114, 252, 578)."
58,R. +12 884 = HD 38263 = Boss 7186.
59,The nebula connected with FU Orionis. Disc. Wachmann 1939 (BZ 21 p. 12).
59,"(770). R. The nebula is probably of the reflection type, although it is"
59,situated in an emission region (727 No 64). The nebula had an extension of
59,about 3' in 1939. It is probably variable.
60,IC 439. Disc. Wolf 1893 (796). R. Not identified.
60,Catalogue data according to Wolf. Not found by. Curtis (216).
61,+30 1096 nebulous. Source: (93) Pl 7. (630) Pl 32.
62,"Anon. 6h 1.8m, +18 42'. Disc. Hubble 1922 (365) p 173 : ""A bright"
62,"uncatalogued nebula similar to NGC 2245"". (366, 491)."
63,"NGC 2170 = GC 1362 = H IV 19. Disc. 1784. (114, 153, 232, 366, 486, 578,"
63,"630 PL 34, 631, 686, 687, 715)."
64,Emission field (726) No 43 = Lower's nebula in Orion. Disc. Lower 1939
64,(480). (630 Pl 33 Pl 35). R. +15 1079 = HD 41997. There may be some doubt
64,"as to the exciting star, and the nebula might possibly be classified as"
64,C.2. Barnard (54) perceived a faint nebulous glow in the vicinity of {ksi}
64,and {ups} Orionis.
65,"-6 1417 = HD 42004 nebulous. Source: (366). FA 98. (630 Pl 34, 715)."
66,"-6 1418 nebulous. Source: (366). FA98. (630 Pl 34, 715)."
67,a = NGC 2175 = GC 1366. Disc. Bruhns (Compare Auwers: Konigsherg Obs 34).
67,"FA 122. WP 45. (54, 88 Pl 22, 93 Pl 9, 114, 194, 216, 294, 366, 399, 482,"
67,"578, 630 Pl 35, 715). R. Nebulous cluster with the principal star +20'1284"
67,= HD 42088. Alternative classification : A. 2. The object NGC 2174
67,probably refers to the northern part of the nebula.
67,"b = IC 2159. According to the position given in the IC, this must refer to"
67,a condensation in the above nebula. (289).
67,"c = The nebula around +20 1293 = HD 252812. WP 45. (93 Pl 9, 715)."
68,"NGC 2182 = GC 1373 = h 381 = H IV 38. Disc. 1786. (114, 153, 252, 296, 366"
68,", 578, 630 Pl 34, 631). R. -6 1431 = HD 42261."
69,"NGC 2183 = GC 5359. Disc. d'Arrest. (114, 153, 296, 366, 486, 578, 631)."
70,"NGC 2185 = GC 1375 = h 383 = H IV 20. Disc. 1784. (114, 153, 296, 304,"
70,"366, 578, 631)."
71,-6 1444 nebulous. Source: (366).
72,IC 2162. Disc. Barnard. (630 Pl 35).
73,"IC 443. Disc. Wolf 1893 (796). (23, 54, 93 P1 9, 630 Pl 32). R. The nebula"
73,"is symmetrical Nvith respect to a conspicuous dark area, and the light-"
73,source may be dimmed off so as to make it unperceived. Another possibility
73,is represented by {eta} Geminorum. If this star is responsible for the
73,"nebular light, weget a = 45' from (93) Pl 9, and log a_1_ (reduced to"
73,Hubble's system as shown in Chapter II) will be 1.487. {eta} Geminorum is
73,"variable, with spectrum M2 and visual magnitude 3.2m in the maximum."
73,"Assuming a normal colour index (according to the HD catalogue), we get the"
73,"corresponding photographic magnitude 4.6m. Hence, m + 5 log a_1_ = 12.0;"
73,in satisfactory agreement with Hubble's law. The visual magnitude at the
73,"minimum is 4.3m, and the period 234"". The nebula should be photographed in"
73,"red light. Further, it ought to be tested for variability. The IC position"
73,has been corrected according to (23).
74,"IC 444, Disc. Wolf 1893 (796). WP 45. (53, 93 Pl 8 Pl 9, 194, 630 Pl 32)."
74,R. The nebula seems to be confined to the vicinity of +23 1301 = HD 43836
74,= Boss 8106 = 12 Geminorum. This star belongs to the cluster (194) No 89.
74,Barnard (53) has stated that +23 1313 is also nebulous. The IC description
74,refers to this star.
75,The nebulous cluster (194) No 92. R. Principal generating star:
75,+5 1214 = HD 44586. Alternative classification : A. 2.
76,"a = NGC 2238 = GC 5361. Disc. Marth. (114, 578). R. This is a nebulous"
76,"star of magnitude 14.5, which is probably to be considered as a part of"
76,the nebulous cluster listed as b.
76,"b = The nebulous cluster NGC 2237, 2239, 2244. R. In 1857 Swift discovered"
76,"a brighter patch of this nebulosity, which is catalogued as NGC 2237. The"
76,cluster was discovered by William Herschel in 1784. It is listed as NGC
76,2244 = GC 1424 = H VII 2. The designations : NGC 2239 = GC 1420 = h392
76,"refer to the star 12 Monocerotis, which is a member of the cluster."
76,The NGC positions of 2237 and 2239 are erroneous. The outer nebulosities
76,"were discovered by Barnard in 1883. WP 105. (15, 29, 30, 44, 45, 54, 55,"
76,"64, 66, 88 Pl 26, Pl 27, 114, 143, 191, 194, 208, 216, 280, 284, 294, 304,"
76,"365, 366, 478, 482, 554, 578, 613, 615 Pl 27, 622, 629, 630 Pl 35, 631,"
76,"715, 733, 753). HD stars involved or aligned : +4 1291 = HD 46056."
76,+5 1279 = HD 46106. +5 1278 = HD 46107. +5 1281 =  HD 259105.
76,+5 1282 = HD 46149. +5 1283 = HD 46150. +5 1287 = HD 46201.
76,+ 5 1286 = HD 46202. +4 1302 = HD 46223. +4 1304 = HD 46241.
77,"IC 446 = IC 2167. Disc. Barnard 1894 (54). WP 30. (88 Pl 28, 216, 366,"
77,"482, 630 Pl 35, 715)."
78,"IC 2169 = IC 447. Disc. Barnard 1894 (54). WP 30. (88 Pl 28, 194, 366,"
78,"618, 630 Pl 35). R. BD stars apparently members of the cluster: +9 1264,"
78,"1265, 1266, 1269, and +10 1159 = HD 46005."
79,"IC 448. Disc. Wolf 1891. (793). WP 30. (88 Pl 28, 630 Pl 35, 726 No 40)."
79,R. Struve and collaborators believe the nebula to be of the reflection
79,"type, and they ascribe the background emission of the region to S"
79,"Monocerotis. 13 Monocerotis may only be aligned. It is, however, difficult"
79,to decide in this question as the bright star is accompanied by a large
79,halo on all available photographs.
79,13 Monocerotis = +7 1337 = HD 46300 = Boss 8506.
80,"NGC 2245 = GC 1425 = h 393 = H IV 3. Disc. 1784. FA 122. WP 30. (64, 88"
80,"Pl 28, 114, 174, 209, 216, 232, 252, 366, 482, 486, 550, 578, 631, 686,"
80,"687, 715, 791)."
81,"NGC 2247. Disc. Swift 1883 (732). WP 30. (54, 64, 114, 209, 216, 366, 486,"
81,550). R. The NGC position is slightly in error. +10 1172 = HD 259431.
82,Emission field (727) No 52. R. +6 1309 = HD 47129 = Boss 8631.
83,"NGC 2261 = GC 1437 = h 399 = H IV 2. Disc. 1783. WP 30. (114, 174, 209,"
83,"216, 217, 294, 298, 359, 360, 361, 431, 450, 451, 452, 455, 457, 458, 459,"
83,"482, 486, 491, 509, 515, 578, 619, 631, 690, 693, 694, 791). R. This is"
83,"Hubble's variable nebula connected with R Monocerotis = +8 1427, varying"
83,between the visual limits 9.3-14.0. Reinmuth gives the dimensions of the
83,nebula to be 3.2 x 1.5'.
84,The nebulous field containing NGC 2264.
84,a = Emission field (726) No 42. R. The region is faintly nebulous on (630)
84,Pl 35. According to Struve and Elvey this is an extension of the
84,nebulosity around S Monocerotis.
